  and DATE_FORMAT(w.STARTDATE, '%Y-%m-%d')<= CURDATE() - INTERVAL 1 DAY --#prev day
order by 'Дата списания'

	at org.apache.spark.sql.catalyst.parser.ParseException.withCommand(ParseDriver.scala:255)
	at org.apache.spark.sql.catalyst.parser.AbstractSqlParser.parse(ParseDriver.scala:124)
	at org.apache.spark.sql.catalyst.parser.AbstractSqlParser.parsePlan(ParseDriver.scala:75)
	at ru.neoflex.datalog.engine.Parser$.processSqlScript(TemplateFile.scala:126)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$anonfun$$_scalate_$render$12(ac_ktr.ssp.scala:88)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$anonfun$$_scalate_$render$12$adapted(ac_ktr.ssp.scala:87)
	at scala.collection.Iterator.foreach(Iterator.scala:929)
	at scala.collection.Iterator.foreach$(Iterator.scala:929)
	at scala.collection.AbstractIterator.foreach(Iterator.scala:1417)
	at scala.collection.IterableLike.foreach(IterableLike.scala:71)
	at scala.collection.IterableLike.foreach$(IterableLike.scala:70)
	at scala.collection.AbstractIterable.foreach(Iterable.scala:54)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$anonfun$$_scalate_$render$11(ac_ktr.ssp.scala:87)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$anonfun$$_scalate_$render$11$adapted(ac_ktr.ssp.scala:84)
	at scala.collection.Iterator.foreach(Iterator.scala:929)
	at scala.collection.Iterator.foreach$(Iterator.scala:929)
	at scala.collection.AbstractIterator.foreach(Iterator.scala:1417)
	at scala.collection.IterableLike.foreach(IterableLike.scala:71)
	at scala.collection.IterableLike.foreach$(IterableLike.scala:70)
	at scala.collection.AbstractIterable.foreach(Iterable.scala:54)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$anonfun$$_scalate_$render$10(ac_ktr.ssp.scala:84)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$anonfun$$_scalate_$render$10$adapted(ac_ktr.ssp.scala:77)
	at scala.collection.Iterator.foreach(Iterator.scala:929)
	at scala.collection.Iterator.foreach$(Iterator.scala:929)
	at scala.collection.AbstractIterator.foreach(Iterator.scala:1417)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp$.$_scalate_$render(ac_ktr.ssp.scala:77)
	at C_.projects.sbtprojects.datalog.src.main.resources.$_scalate_$ac_ktr_ssp.render(ac_ktr.ssp.scala:205)
	at org.fusesource.scalate.layout.NullLayoutStrategy$.layout(LayoutStrategy.scala:43)
	at org.fusesource.scalate.TemplateEngine.$anonfun$layout$2(TemplateEngine.scala:567)
	at scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12)
	at org.fusesource.scalate.RenderContext.withUri(RenderContext.scala:439)
	at org.fusesource.scalate.RenderContext.withUri$(RenderContext.scala:431)
	at org.fusesource.scalate.DefaultRenderContext.withUri(DefaultRenderContext.scala:31)
	at org.fusesource.scalate.TemplateEngine.$anonfun$layout$1(TemplateEngine.scala:567)
	at scala.runtime.java8.JFunction0$mcV$sp.apply(JFunction0$mcV$sp.java:12)
	at org.fusesource.scalate.RenderContext$.using(RenderContext.scala:49)
	at org.fusesource.scalate.TemplateEngine.layout(TemplateEngine.scala:563)
	at org.fusesource.scalate.TemplateEngine.layout(TemplateEngine.scala:603)
	at org.fusesource.scalate.TemplateEngine.layout(TemplateEngine.scala:615)
	at org.fusesource.scalate.TemplateEngine.layout(TemplateEngine.scala:583)
	at ru.neoflex.datalog.actors.RenderActor$.justRender(RenderActor.scala:23)
	at ru.neoflex.datalog.actors.RenderActor$.$anonfun$render$1(RenderActor.scala:33)
	at akka.actor.typed.internal.BehaviorImpl$ReceiveBehavior.receive(BehaviorImpl.scala:136)
	at akka.actor.typed.Behavior$.interpret(Behavior.scala:274)
	at akka.actor.typed.Behavior$.interpretMessage(Behavior.scala:230)
	at akka.actor.typed.internal.InterceptorImpl$$anon$2.apply(InterceptorImpl.scala:57)
	at akka.actor.typed.internal.RestartSupervisor.aroundReceive(Supervision.scala:268)
	at akka.actor.typed.internal.InterceptorImpl.receive(InterceptorImpl.scala:85)
	at akka.actor.typed.Behavior$.interpret(Behavior.scala:274)
	at akka.actor.typed.Behavior$.interpretMessage(Behavior.scala:230)
	at akka.actor.typed.internal.adapter.ActorAdapter.handleMessage(ActorAdapter.scala:131)
	at akka.actor.typed.internal.adapter.ActorAdapter.aroundReceive(ActorAdapter.scala:107)
	at akka.actor.ActorCell.receiveMessage(ActorCell.scala:579)
	at akka.actor.ActorCell.invoke(ActorCell.scala:547)
	at akka.dispatch.Mailbox.processMailbox(Mailbox.scala:270)
	at akka.dispatch.Mailbox.run(Mailbox.scala:231)
	at akka.dispatch.Mailbox.exec(Mailbox.scala:243)
	at java.util.concurrent.ForkJoinTask.doExec$$$capture(ForkJoinTask.java:289)
	at java.util.concurrent.ForkJoinTask.doExec(ForkJoinTask.java)
	at java.util.concurrent.ForkJoinPool$WorkQueue.runTask(ForkJoinPool.java:1056)
	at java.util.concurrent.ForkJoinPool.runWorker(ForkJoinPool.java:1692)
	at java.util.concurrent.ForkJoinWorkerThread.run(ForkJoinWorkerThread.java:157)
[2022-05-13 23:27:24,538] [INFO] - process file: C:\projects\temp\ac\localRep\Broadcasts\Admindup\AdminDUPMain.kjb
